,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크
53,원티드,데이터 분석가,여기어때컴퍼니,Data Analyst,데이터 분석가,상시채용,1,3,10,관련 학사,"통계, 데이터 사이언스, 컴퓨터 사이언스",999,999,정규직,999,서울,강남,999,"데이터 분석, 고객 행동 데이터, Funnel 분석, Retention, 코호트 분석, 프로덕트 데이터, 지표 설정, 빅데이터, A/B 테스트, 행동 로그 설계, 비즈니스 분석","유연성, 추진력, 신뢰성, 긍정적인 태도, 문제 정의, 가설 수립, 인사이트 도출, 경력 3년",없음,"데이터 분석, 데이터 시각화, 프로그래밍 언어","문제 해결 능력, 관련 전공","Tableau, SQL, Python, R, GTM(Google Tag Manager)",여행,2015,572,"5,580",스타트업,999,2049.1억,,999,3,3.1,3.3,3.2,2.7,2.5,46,52,34,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하 ,사내카페
 
 음료
 
 과일
 
 건강검진
 
 사내식당
 
 동호회
 
 리프레시휴가
 
 연봉상위11~20%
 
 인원성장
 
 301~1,000명
 
 설립4~9년
 
 퇴사율5%이하
 
 누적투자100억이상
 
 IT, 컨텐츠",118,124,https://www.wanted.co.kr/wd/212988
54,"원티드,잡코리아",데이터 분석가,백패커,Product Data Analyst,데이터 분석가,2024.04.26,1,1,5,학력 무관,,이력서,• 서류전형 -＞ 1차 인터뷰(+라이브 코딩) -＞ 2차 인터뷰 -＞ 처우협의 -＞ 입사,정규직,"주5일 (월~금) 10:00~19:00
탄력근무제",서울,서초,999,"App/Web 서비스, 고객 데이터 분석, QA, 데이터 가공, 데이터 시각화, SQL 활용 능력 상급","비즈니스 논리, 논리적 사고, 인사이트 도출, 균형잡힌 사고","SQL, BI, Tableau, Redash, Superset, Looker Studio-Google Data Studio","IT, 커머스, App/Web 서비스 데이, 데이터 분석, 데이터 시각화, 마케팅, 개발, 앱서비스","스타트업 경험, 마케팅 경험, 관련 전공","Tableau, Power BI",응용 소프트웨어 개발,2012,256,"3,925",중소기업,비상장,515.8억,,홈페이지 지원,3.3,2.9,3.2,3.3,3,2.9,55,65,42,"지속 성장중인 기업, 수평적인 기업 문화, 퇴사율 10% 이하 ,건강검진
 
 교육비
 
 스타트업
 
 안마의자
 
 51~300명
 
 설립10년이상
 
 퇴사율5%이하
 
 누적투자100억이상
 
 IT, 컨텐츠",180,101,https://www.wanted.co.kr/wd/212908
55,"원티드,사람인",데이터 분석가,유비케어,데이터 분석 경력,데이터 분석가,상시채용,1,2,10,대졸(4년),,이력서,서류전형 ＞ 직무테스트/1차면접＞ 2차면접＞ 처우산정&채용검진 ＞ 최종합격,정규직,"- 근무요일 : 월 ~ 금 (09:00~18:00, 선택적근로시간제 운영) / 주5일 / 일8시간 근무",서울,영등포,999,"통계, 모델링, 머신러닝, 분석 컨텐츠, 교차분석, 차이검증, 분산분석, 상관분석, 회귀분석",커뮤니케이션,"Python, SQL","데이터 분석, 관련 자격증, 데이터 시각화",관련 전공,Datbricks,의료,1994,324,"5,338",중견기업,999,"1,540억",,"사람인 지원, 점핏에서 지원",2.8,2.5,3.3,3,2.7,2.5,40,47,23,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하 ,사내카페
 
 건강검진
 
 단체보험
 
 연봉업계평균이상
 
 인원급성장
 
 301~1,000명
 
 설립10년이상
 
 퇴사율 6~10%
 
 IT, 컨텐츠",69,85,https://www.wanted.co.kr/wd/214216
56,원티드,데이터 분석가,코인원(coinone),데이터 분석가,데이터 분석가,상시채용,1,5,10,999,,지원서는 수행 프로젝트 중심으로 기술해주시고 본인 기여도와 프로젝트 성과를 명시하여 주시기 바랍니다.,서류 전형 ＞ 전화 인터뷰 ＞ 인성검사 ＞ 1DAY 최종 인터뷰 ＞ 처우협의 ＞ 입사,정규직,999,서울,영등포,999,"데이터 분석, 통계, 머신러닝, 모델링, 제품 데이터, 시계열 데이터, tabular dataset","문제 정의, 성과 분석, 프로젝트 경험","SQL, Python, R","가상화폐, 가상자산 데이터 분석, 시장 동향 분석, 거래 패턴 분석, 인과추론, 머신러닝, 모델링","커뮤니케이션, 문제 해결 능력, 협업 능력, 인과 추론, 문제 정의, 문제 해결 능력, 방향성",999,금융,2014,207,"5,882",스타트업,999,1735.1억,,999,3.4,3.3,3.7,3.5,3,2.6,50,51,31,"수평적인 기업 문화, 다양한 근무 지원 제도 운영, 자유로운 휴가 ,사내카페
 
 커피
 
 음료
 
 건강검진
 
 단체보험
 
 교육비
 
 택시비
 
 리프레시휴가
 
 워크샵
 
 금융",65,73,https://www.wanted.co.kr/wd/184502
57,"원티드, 잡플래닛",데이터 분석가,한국그린데이터,Data Scientist,데이터 사이언티스트,2024.05.12,1,3,7,관련 학사,"데이터 사이언스, 통계학, 컴퓨터 공학, 물리학, 수학",999,"서류전형
 - 1차 인터뷰(실무진)
 - 2차 인터뷰(대표이사)
 - 처우협의 및 최종합격",정규직,999,경기,성남,999,"데이터 분석, 머신러닝, 딥러닝, 모델링, 통계, 데이터 처리, 데이터베이스",데이터 사이언스/ 통계학/ 컴퓨터 공학/ 물리학/ 수학 학위,"Python, R, SQL","데이터 분석, 모델링, 클라우드 환경, 에너지 플랫폼 서비스, 지뵤설정, AI 모델, 머신러닝, 데이터 파이프라인 구축","협업 능력, 프로젝트 관리 경험, 커뮤니케이션","AWS, GCP",에너지,2020,11,"6,818",중소기업,999,"3억 8,792만원",,999,3.5,4.3,4.8,3.8,3.8,3.8,75,75,50,"요즘 뜨는 산업 ,간식
 
 건강검진
 
 식비
 
 인공지능
 
 IT, 컨텐츠",4,6,"https://www.wanted.co.kr/wd/210157/https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1273395, https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1273395"
58,원티드,데이터 분석가,야놀자Tech(R&D),Data Analyst,데이터 분석가,상시채용,1,2,7,999,,"야놀자는 자유양식의 지원서류(이력서,경력기술서)를 받고 있습니다. 본인의 강점을 잘 어필 할 수 있는 방식으로 자유롭게 작성하되, PDF 형태로 제출을 권장합니다.
 - 포트폴리오, 개인홈페이지, 블로그, Github 링크 등도 함께 제출해주시면 더욱 좋습니다.","서류 전형 1차(기술+직무 인터뷰) 2차(직무+컬쳐핏 인터뷰) 처우 협의 최종 합격 [1차 기술+직무 인터뷰] 
 - 기술적인 부분과, 직무와 관련된 전문 지식 및 경험에 대한 이야기를 나누는 자리입니다.
 - 화상으로 진행되며 업무 연관성이 높은 야놀자 구성원이 참석하며 약 2시간 가량 진행됩니다.
 - 약 30분 - 45분 가량의 SQL 문제가 제공됩니다.
  
 [2차 직무+컬쳐핏 인터뷰]
 - 직무와 관련된 역량과 경험에 대하여 1시간 가량 심층적인 이야기를 나누게 됩니다.
 - 이와 더불어 야놀자와 지원자가 서로의 가치관과 생각을 확인하는 질문도 주고 받습니다.
 
 [처우 협의]
 - 인터뷰 전형 합격 이후, 개별적으로 보상에 대한 협의를 진행합니다.
 - 처우 산정에 필요한 증빙 서류를 요청드리며, 제출 완료 후 최대한 빠른 시일 내에 채용 담당자가 연락 드립니다.
 
 [최종 합격]
 - 야놀자 합류를 축하드리며 오퍼레터를 발송합니다. 
 - 오퍼레터에는 최종 제안드리는 포지션과 연봉, 현금성 복지 등 보상 패키지, 입사일을 포함되어 있습니다.
 
 [참고 사항]
 - 상황에 따라 과제 또는 추가 인터뷰, 평판조회 전형이 추가될 수 있습니다.",정규직,999,서울,강남,999,"코딩 실력, 소프트웨어 엔지니어링, App/Web 서비스 데이터, 데이터 엔지니어, 데이터 시각화, 데이터 가공, 데이터 분석","직무에 대한 자부심, 문제 정의, 가설 수립, 새로운 기술 학습에 대한 열정,","SQL, Python, BI","통계 분석, 차원 모델링, 머신러닝",분석 방법론,999,여행,2007,913,"9,337",스타트업,999,"3753억 5,729만원",,홈페이지 지원,2.8,2.9,2.9,2.9,2.6,2.3,35,45,36,"연봉 업계 평균 이상, 일한만큼 받는 보상, 퇴사율 10% 이하 ,간식
 
 교육비
 
 상여금
 
 인공지능
 
 연봉상위1%
 
 301~1,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",478,191,https://www.wanted.co.kr/wd/210848
59,"원티드,잡코리아",데이터 분석가,넥슨코리아,데이터 분석가 (게임 플레이 로그 데이터 분석),데이터 분석가,상시채용,1,1,20,학력 무관,,이력서,서류전형 - 과제전형 - 면접전형 - 최종합격,정규직,999,경기,성남,999,"데이터 분석, 게임 데이터, 통계","논리적 사고, 분석적 사고, 문제 정의, 논리적 스토리텔링, 커뮤니케이션, 넥슨 게임에 대한 관심","SQL, Python","데이터 분석, 머신러닝, 딥러닝, 빅데이터","경력, 입상 경험, 프로젝트 경험, 관련 전공","Spark, Zeppelin, Airflow, Tableau",게임,1994,"3,756","6,082",대기업,비상장,3조 9000억,,홈페이지 지원,3.8,3.7,3.6,3.8,3.3,2.9,76,59,38,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하 ,보육시설
 
 어학교육
 
 사내식당
 
 동호회
 
 인공지능
 
 연봉상위6~10%
 
 인원급성장
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 셔틀버스
 
 IT, 컨텐츠",476,641,https://www.wanted.co.kr/wd/210141
60,원티드,데이터 분석가,해긴,데이터 기획 및 분석 (BI),"데이터 분석가, 데이터 기획",상시채용,1,5,10,[우대] 관련 학사,"통계, 프로그래밍, 전산, 수학",999,999,정규직,999,서울,구로,999,"데이터 분석, 통계, 데이터 관련 경험","문서화 능력, 커뮤니케이션, 협업 능력, 경력 4년"," SQL, Python","통계, 프로그래밍, 데이터 가공, 데이터 분석, 게임, 자료분석","관련 전공, 인사이트 도출, 의사 결정에 도움",999,게임,2017,178,"5,549",중소기업,999,332.7억,,999,3.1,3,3,2.7,3,2.9,52,61,45,"연봉 업계 평균 이상, 지속 성장중인 기업, 일한만큼 받는 보상, 사내카페
 
 커피
 
 음료
 
 간식
 
 건강검진
 
 스톡옵션
 
 조식제공
 
 식비
 
 안마의자
 
 연봉상위11~20%
 
 인원급성장
 
 51~300명
 
 설립4~9년
 
 퇴사율5%이하
 
 IT, 컨텐츠",48,59,https://www.wanted.co.kr/wd/212760
61,원티드,데이터 분석가,핏펫(Fitpet),Product Data Analyst,데이터 분석가,상시채용,1,2,10,999,,자유 양식의 이력서 또는 경력기술서(PDF 형식 권장),서류 접수 ＞ 1차 직무 인터뷰 ＞ 2차 컬처핏 인터뷰 ＞ 처우협의 ＞ 최종합격,정규직,999,서울,강남,999,"데이터 분석, 데이터 가공, 빅데이터, App/Web 서비스 데이터, 사용자 행동 로그, 데이터 수집, 데이터 시각화, 대시보드 구축","커뮤니케이션, 가설 검증, 문제 정의, 액션 도출, 인사이트 도출, 경력 2년",SQL,"데이터 시각화, 데이터베이스, 플랫폼 서비스, 클라우드 환경",999,"Amplitude/Mixpanel, GA/GTM, Braze, Redash, BiqQuery",애견,2017,108,"6,847",중소기업,999,"239억 2,010만원",,999,3.5,3.7,3.5,3.4,3.4,3,62,66,59,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하, 음료
 
 간식
 
 건강검진
 
 반려동물
 
 안마의자
 
 연봉상위6~10%
 
 51~300명
 
 설립4~9년
 
 퇴사율5%이하
 
 IT, 컨텐츠",51,43,https://www.wanted.co.kr/wd/212129
62,원티드,데이터 분석가,페니로이스,Data Scientist in Financial,데이터 사이언티스트,상시채용,1,2,10,대졸(4년),,999,999,정규직,999,서울,종로,999,통계,통계학/ 수학 학위,없음,"금융, 데이터 분석, 모델링, 머신러닝, 오픈 소스, DMF 활용 데이터 분석","관련 전공, 석사, 박사, 해외 학위, 영어, 컨설팅 프로젝트 경험, 금융권 경력","SAS, SPSS, ML, Python, R",금융,2009,19,"5,852",중소기업,999,44.8억,,999,3,2,2.5,2.5,3,2.5,999,999,999,"연봉 업계 평균 이상, 퇴사율 10% 이하, 건강검진
 
 자기계발
 
 교육비
 
 연봉상위11~20%
 
 50명이하
 
 설립10년이상
 
 퇴사율5%이하
 
 전문, 과학기술",14,12,https://www.wanted.co.kr/wd/213503
63,원티드,데이터 분석가,띵스파이어,머신러닝 개발자 - DL/ML 기반 데이터 분석 (신입),머신러닝 개발자,상시채용,1,0,0,"[우대] 관련 석사,박사
",컴퓨터 사이언스 및 빅데이터 분석,999,999,정규직,999,서울,용산,999,"머신러닝, 딥러닝, 모델링, 모델 개발, 과학계산용 라이브러리","라이브러리 활용, 신입","Python, Tensorflow, Keras, Pytorch","제조, 물류, 통계, 분석, 통계적 분석 시계열 분석, 이상 탐지, 신호 처리 기반 예측 모델링, 특성인자 엔지니어링, 데이터 정규화, 모델 최적화, 하이퍼 파라미터 튜닝, 프로그래밍 언어, 심층신경망 개발, 앱 개발, 머신러닝, 딥러닝, 모델링","관련 전공, 석사, 박사, AI 기술 경험, 개발 경험",Java,에너지,2014,24,"5,376",중소기업,999,"29억5,605만원",,999,4,3.6,3.8,3.4,3.6,3.2,80,100,60,"연봉 업계 평균 이상, 퇴사율 10% 이하, 요즘 뜨는 산업
 , 교육비
 
 식비
 
 인공지능
 
 연봉상위11~20%
 
 50명이하
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",5,2,https://www.wanted.co.kr/wd/207288
64,원티드,데이터 분석가,인터파크트리플,데이터 분석가,데이터 분석가,상시채용,1,3,5,999,,999,서류 전형 ＞ 과제 테스트 ＞ 1차 면접 ＞ 2차 면접 ＞ 처우 협의 ＞ 입사,정규직,999,서울,서초,999,"데이터 분석, 로그 데이터, 데이터 마트, 데이터 시각화","협업 능력, 커뮤니케이션, 리포트 작성 능력, 경력 3년","SQL, Tableau, Power BI, Redash","엔터, 공연, 전시, 플랫폼 데이터, 빅데이터, 데이터 추출, 데이터 분석","문제 정의, 문제 해결 능력, 결과 해석, 인사이트 도출, 분석 프로세스 경험, 커뮤니케이션, 협업 능력","GA4, Firebase, Hive, Presto, Spark, R, Python",엔터테인먼트,2022,1000,"5,397",대기업,999,"3,466.5억",,999,2.7,2.5,3,2.6,2.7,2.2,31,33,12,"일한만큼 받는 보상, 다양한 근무 지원 제도 운영, 사내카페
 
 간식
 
 건강검진
 
 의료비
 
 원격근무
 
 상여금
 
 동호회
 
 복지포인트
 
 IT, 컨텐츠",239,163,https://www.wanted.co.kr/wd/207717
65,원티드,데이터 분석가,에이비일팔공(AB180),Data Scientist,데이터 사이언티스트,상시채용,1,0,5,관련 학사,"통계, 머신러닝, 딥러닝",자유 양식의 이력서와 개인 GitHub 링크,"1. 서류 전형
  • 자유 양식의 이력서와 개인 GitHub 링크를 제출해주세요.
 
 2. 전화 인터뷰
  • 기본적인 자격 요건과 제출 서류 관련 내용을 확인하기 위해 전화 인터뷰를 약 30분간 진행합니다.
 
 3. 1차 인터뷰
  • 직무 스킬 및 역량을 확인하기 위해 팀 리드와 구술 인터뷰를 진행합니다.
 
 4. 2차 인터뷰
  • 회사 업무 및 문화 적합도를 확인하기 위해 관련 부문장과 구술 인터뷰를 진행합니다.
 
 5. 입사 협의
  • 입사 조건을 협의하고 입사를 확정합니다.",정규직,999,서울,서초,999,"통계, 머신러닝, 딥러닝, App/Web 서비스 데이터, 사용자 행동 로그, 모델링, 데이터 추출, 데이터 가공, 프레임워크","논리적 사고, 분석적 사고, 영어 논문 활용한 지식 습득, 문제 정의, 가설 수립, 인사이트 도출","Python, R, Tensorflow, PyTorch, scikit-learn, SQL","광고, 커머스, 추천 알고리즘, 빅데이터, App/Web 서비스 데이터, 플랫폼 데이터, 데이터 웨어하우스, 대용량 데이터 분산 처리","영어로 소통, 커뮤니케이션","Hadoop, Spark, Snowflake, Databricks",마케팅,2015,134,"5,863",스타트업,999,"272억 2,240만원",,999,4.2,3.5,3.6,4.3,4.1,3.9,83,91,74,"연봉 업계 평균 이상, 지속 성장중인 기업, 수평적인 기업 문화, 스타트업
 
 식비
 
 Macbook
 
 리프레시휴가
 
 연봉상위11~20%
 
 인원급성장
 
 51~300명
 
 설립4~9년
 
 퇴사율 6~10%
 
 IT, 컨텐츠",35,43,https://www.wanted.co.kr/wd/197959
66,원티드,데이터 분석가,태그바이컴퍼니(TAGby),Data Scientist,데이터 사이언티스트,상시채용,1,1,10,999,,999,"서류전형 ＞ 1차면접(커피챗) ＞ 2차면접(실무) ＞ 최종면접 ＞ 처우협의 ＞ 입사 상기 채용 프로세스는 상황에 따라 일부 추가/생략될 수 있습니다.
 • 2차 면접은 팀 리드 매니저와 1:1로 실무역량과 마인드에 대하여 약 1시간 가량 진행됩니다.
 • 최종 면접은 CEO와 1:1로 태그바이 DNA를 검증하는 단계입니다. 약 1시간 가량 진행됩니다.
 • 최종 합격 후 1~3개월 간의 수습 기간이 있을 수 있습니다.",정규직,999,서울,강남,999,"데이터 분석, 통계, 수학, 머신러닝, 엔지니어링, 데이터 베이스, SQL 중급 실력, 데이터 가공, 모델링, 클라우드 환경","논리적 사고, 분석적 사고 커뮤니케이션, 인사이트 도출, 경력 1년","Python, SQL","SAAS, SNS, 마케팅, 커머스, 딥러닝, 프레임워크, 백엔드, 데이터 파이프라인 구축, 추천 알고리즘, 자동화, 데이터 베이스, 대용량 데이터 분산 처리, 클라우드 환경, 지표 설계, 소프트웨어 운영, AI","개발 프로젝트 경험, 인사이트 도출, 지표 향상 경험","Tensorflow, Keras, Pytorch, AWS, Docker, Kubernetes, ComputerVision, NLP, DevOps, MLOps",마케팅,2016,49,"4,010",스타트업,999,"154억 1,022만원",,999,4.1,3.2,4.2,4.1,3.8,3.9,65,82,74,"커피
 
 와인
 
 건강검진
 
 도서구매비
 
 IT, 컨텐츠",14,30,https://www.wanted.co.kr/wd/209822
67,원티드,데이터 분석가,앰버로드,Data Scientist,데이터 사이언티스트,상시채용,1,2,5,[우대] 관련 석사,,999,"① 서류 전형
  ② 데이터분석 과제 + 실무진 면접
  ③ 최종 면접
  ④ 처우 협의 및 최종 합격",정규직,999,서울,강남,999,"데이터 분석, 데이터 전처리, 모델링, 데이터 가공, 데이터 시각화, 제조업 데이터","논리적 사고, 분석적 사고, 문제해결 능력, 커뮤니케이션, 인사이트 도출, 인내와 끈기, 영어 논문 이해","Python, Pandas, Matplotlib","데이터 전처리, 데이터 가공, 데이터 분석","논문 및 특허, 관련 수상 경험, 관련 전공, 석사, 프로젝트 경험, 인사이트 도출",999,제조,2023,9,"3,165",스타트업,999,999,,999,999,999,999,999,999,999,999,999,999,"지속 성장중인 기업, 수평적인 기업 문화, 요즘 뜨는 산업,커피
 
 스타트업
 
 인공지능
 
 인원급성장
 
 50명이하
 
 설립3년이하
 
 IT, 컨텐츠",0,9,https://www.wanted.co.kr/wd/191938
68,원티드,데이터 분석가,넥슨코리아,분석지원팀 데이터 엔지니어,데이터 엔지니어,상시채용,1,1,20,999,,999,999,정규직,999,경기,성남,999,"데이터 가공, 빅데이터, ETL, 클라우드 환경, 프로그래밍 언어, 데이터 처리, DB 성능 관리, 모니터링",없음,"SQL, Spark, Airflow, Jupyter, Snowflake, AWS, GCP, Azure, Databricks, Python, Scala","게임, DW/DM 개발","게임 플레이 경험, 게임 트렌드에 대한 지식",999,게임,2005,"3,756","6,082",대기업,999,1.9조원,,999,3.8,3.7,3.6,3.8,3.3,2.9,76,59,38,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하, 보육시설
 
 어학교육
 
 사내식당
 
 동호회
 
 인공지능
 
 연봉상위6~10%
 
 인원급성장
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 셔틀버스
 
 IT, 컨텐츠",476,641,https://www.wanted.co.kr/wd/186195
69,원티드,데이터 분석가,여기어때컴퍼니,Data Scientist,데이터 사이언티스트,상시채용,1,3,7,999,,999,999,정규직,999,서울,강남,999,"데이터 분석, 통계, 추천 모델링, 예측 모델링, Funnel 분석, Retention, 코호트 분석, 프로덕트 데이터, 데이터 시각화, 머신러닝, 딥러닝, 지표설정, 빅데이터, 비즈니스 분석","비즈니스 이해, 분석 방법론, 유연성, 추진력, 신뢰성, 긍정적인 태도, 문제 정의, 가설 수립, 인사이트 도출, 경력 3년",없음,"데이터 시각화, 머신러닝, 딥러닝, 모델링, 빅데이터, 대용량 데이터 분석, App/Web 서비스 데이터, 사용자 행동 로그, 프레임워크","프로젝트 경험, 관련 수상 경험, 문제 해결 능력"," SQL, Python, R, Tableau, TensorFlow, PyTorch",여행,2015,572,"5,580",스타트업,999,2049.1억,,999,3,3.1,3.3,3.2,2.7,2.5,46,52,34,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하, 사내카페
 
 음료
 
 과일
 
 건강검진
 
 사내식당
 
 동호회
 
 리프레시휴가
 
 연봉상위11~20%
 
 인원성장
 
 301~1,000명
 
 설립4~9년
 
 퇴사율5%이하
 
 누적투자100억이상
 
 IT, 컨텐츠",118,124,https://www.wanted.co.kr/wd/208247
70,"원티드,워크넷",데이터 분석가,에이블리코퍼레이션,데이터 분석가 (Business Data Analyst),데이터 분석가,상시채용,1,3,15,학력 무관,,"이력서, 자기소개서, 포트폴리오, 경력기술서","채용 절차 : 서류전형 - 사전과제 - 직무 인터뷰 & 문화적합성 인터뷰 - 최종 인터뷰 - 최종합격
 • 연봉 정보는 서류상 기재하지 말아주세요. 추후 별도로 요청 드릴 예정 입니다.",정규직,999,서울,서초,999,"데이터 분석, 데이터 추출, 데이터 가공","논리적 사고, 커뮤니케이션, 문제 정의, 인사이트 도출, 문제 해결 능력, 호기심, 자기주도적, 에이블리 조직문화 이해, 동반 성장",SQL,"이커머스, 퍼포먼스 마케팅, CRM, 데이터 분석, 온라인, 패션, 통계","재무/ 회계 지식, 마케팅 관련 분석 경험, 온라인/패션/커머스 트렌드에 대한 관심과 이해",999,패션,2015,329,"5,175",중소기업,999,1785억,,홈페이지 지원,3.1,3.3,2.2,3.1,2.7,2.8,42,62,47,"연봉 업계 평균 이상, 일한만큼 받는 보상, 퇴사율 10% 이하, 커피
 
 과일
 
 간식
 
 건강검진
 
 택시비
 
 유연근무
 
 스톡옵션
 
 인공지능
 
 연봉업계평균이상
 
 51~300명
 
 설립4~9년
 
 퇴사율5%이하
 
 IT, 컨텐츠",122,101,https://www.wanted.co.kr/wd/208291
71,원티드,데이터 분석가,클로버추얼패션(CLOVirtualFashion),Data Analyst,데이터 분석가,상시채용,1,3,10,999,,"경력사항이 잘 기술된 이력서(경력기술서) 1부 - 필수
 • 포트폴리오, 본인이 참여한 프로젝트 내용이 정리된 레퍼런스 - 선택","[서류 검토] -＞ [1차 인터뷰] -＞ [2차 인터뷰(+Reference Check)] -＞ [처우 협의] -＞ [최종 합격]
 *1차 인터뷰에서는 SQL Test가 라이브로 진행됩니다.
 *1차 인터뷰의 소요시간은 약 1시간 ~ 1시간 30분이며, 영어 인터뷰가 포함되어 있습니다.",정규직,999,서울,강남,999,"데이터 분석, 비즈니스 분석, 비즈니스 데이터, 데이터 추출, App/Web 서비스 데이터, Funnel 분석, 코호트 분석, Retention, AARRR, LTV, 데이터 시각화, 통계","논리적 사고, 문제 해결, 통찰력, 인사이트 도출, 액션 도출, 문제 정의, 영어로 소통, 커뮤니케이션, 경력 3년","SQL, Tableau, Google Data Studio, BI","구독 형태 비즈니스, 디지털마케팅, 사용자 행동 로그, 데이터 수집, 가공","구독 형태 비즈니스 이해, 디지털 마케팅 이해, 프로젝트 경험, Agile한 조직 경험",999,패션,2009,187,"6,579",스타트업,999,173.2억,,999,3.1,3,4.2,3.3,3,2.9,63,59,59,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하, 커피
 
 샐러드
 
 과일
 
 간식
 
 건강검진
 
 자기계발
 
 유연근무
 
 복지포인트
 
 연봉상위6~10%
 
 인원급성장
 
 51~300명
 
 설립10년이상
 
 퇴사율 6~10%
 
 사택
 
 IT, 컨텐츠",13,26,https://www.wanted.co.kr/wd/210507
72,원티드,데이터 분석가,셀키,AI Data Scientist,"데이터 사이언티스트, AI",상시채용,1,3,10,[우대] 관련 학사," 컴퓨터공학, 통계학, 생명정보학",999,999,정규직,999,서울,서초,999,"AI 모델, ML 모델, 머신러닝, 모델 개발, 모델링","논리적 사고, 분석적 사고, 컴퓨터공학/ 통계학/ 생명정보학 학위, 경력 3년",Python,"유전체, 단백체, 머신러닝, 딥러닝, 모델링, LLM, AI, 클라우드 환경, 모델 개발, 프레임워크",모델 개발 경험,"AWS, TensorFlow, Keras, Pytorch",의료,2020,10,4901,중소기업,999,"3억 5,136만원 ",,999,999,999,999,999,999,999,999,999,999,"퇴사율 10% 이하, 요즘 뜨는 산업, 커피
 
 복지포인트
 
 Macbook
 
 노트북
 
 인공지능
 
 IoT
 
 안마의자
 
 설립4~9년
 
 퇴사율5%이하
 
 전문, 과학기술",999,999,https://www.wanted.co.kr/wd/210403
73,원티드,데이터 분석가,그립컴퍼니,데이터 분석,데이터 분석가,상시채용,1,4,15,관련 학사,,999,"서류 전형 ＞ 현장 과제 & 1차 면접(직무) ＞ 2차 면접(문화 적합성) ＞ 최종 합격
 
 [참고 사항]
 * 1차 면접 당일에 현장에서 과제가 진행됩니다. 과제 후 바로 면접을 진행하니 참고 부탁드립니다.
 * 직무 및 직책에 따라 레퍼런스 조회가 진행될 수 있습니다.",정규직,999,경기,성남,999,"데이터 분석, A/B 테스트, 통계 분석, 데이터베이스, 통계, 데이터 웨어하우스","논리적 사고, 문제 정의, 결과 해석, 인사이트 도출, 협업 능력, 커뮤니케이션","SQL, Python, R","라이브 커머스, 관련 자격증, 빅데이터, 대용량 데이터 분산처리",대용량 데이터 처리 경험,"Clickhouse, Big Data, DW, PySpark",이커머스,2018,173,"5,391",중소기업,999,"131억 4,117만원",,999,3.8,3.5,3.7,4.2,3.5,3.7,56,79,53,"연봉 업계 평균 이상, 지속 성장중인 기업, 일한만큼 받는 보상, 건강검진
 
 자기계발
 
 유연근무
 
 스타트업
 
 상여금
 
 사내식당
 
 식비
 
 통신비
 
 연봉상위11~20%
 
 인원급성장
 
 51~300명
 
 설립4~9년
 
 퇴사율 6~10%
 
 IT, 컨텐츠",66,74,https://www.wanted.co.kr/wd/182310
